Name,Team,HR,R,RBI,AVG,WAR
Mookie Betts,Red Sox,32,129,80,0.346,10.4
Mike Trout,Angels,39,101,79,0.312,9.8
Jose Ramirez,Indians,39,110,105,0.27,8
Alex Bregman,Astros,31,105,103,0.286,7.6
Francisco Lindor,Indians,38,129,92,0.277,7.6
Christian Yelich,Brewers,36,118,110,0.326,7.6
Matt Chapman,Athletics,24,100,68,0.278,6.5
Anthony Rendon,Nationals,24,88,92,0.308,6.3
Manny Machado,- - -,37,84,107,0.297,6.2
J.D. Martinez,Red Sox,43,111,130,0.33,5.9
Nolan Arenado,Rockies,38,104,110,0.297,5.7
Lorenzo Cain,Brewers,10,90,38,0.308,5.7
Andrelton Simmons,Angels,11,68,75,0.292,5.5
Javier Baez,Cubs,34,101,111,0.29,5.3
Freddie Freeman,Braves,23,94,98,0.309,5.2
Whit Merrifield,Royals,12,88,60,0.304,5.2
Paul Goldschmidt,Diamondbacks,33,95,83,0.29,5.1
Trevor Story,Rockies,37,88,108,0.291,5
Matt Carpenter,Cardinals,36,111,81,0.257,5
Jed Lowrie,Athletics,23,78,99,0.267,4.9
